borough,latitude,longitude,crash_time,contributing_factor_vehicle_1
STATEN ISLAND,40.635400,-74.106674,12:15:00,Unspecified
QUEENS,40.781647,-73.833664,14:30:00,Driver Inattention/Distraction
BROOKLYN,40.688370,-73.980560,5:39:00,Driver Inattention/Distraction
MANHATTAN,40.790417,-73.951840,22:00:00,Other Vehicular
BROOKLYN,40.648100,-73.914740,20:00:00,Driver Inattention/Distraction
QUEENS,40.712750,-73.767300,14:00:00,Driver Inattention/Distraction
QUEENS,40.738068,-73.861046,17:00:00,Driver Inattention/Distraction
QUEENS,40.680496,-73.821365,23:09:00,Passing Too Closely
BROOKLYN,40.619240,-73.954124,15:32:00,Failure to Yield Right-of-Way
BROOKLYN,40.629105,-74.034645,22:45:00,Unspecified
BROOKLYN,40.699818,-73.920135,11:40:00,Passing Too Closely
QUEENS,40.698020,-73.762300,10:10:00,Driver Inattention/Distraction
BROOKLYN,40.628930,-73.971375,12:30:00,Unspecified
MANHATTAN,40.831177,-73.942085,16:15:00,Driver Inattention/Distraction
BROOKLYN,40.675037,-73.930534,18:00:00,Passing or Lane Usage Improper
BROOKLYN,40.648840,-73.951020,19:01:00,Driver Inattention/Distraction
BROOKLYN,40.600883,-73.958694,8:04:00,Driver Inattention/Distraction
MANHATTAN,40.766586,-73.953100,10:13:00,Passing Too Closely
BRONX,40.833126,-73.828285,9:40:00,Unspecified
BRONX,40.834675,-73.930275,22:06:00,Following Too Closely
BRONX,40.863647,-73.891800,23:06:00,Traffic Control Disregarded
BROOKLYN,40.689426,-73.942230,4:45:00,Traffic Control Disregarded
BROOKLYN,40.676594,-73.890380,12:47:00,Turning Improperly
MANHATTAN,40.832764,-73.945830,0:00:00,Driver Inattention/Distraction
QUEENS,40.747536,-73.893440,19:00:00,Unspecified
STATEN ISLAND,40.540833,-74.159386,17:00:00,Failure to Yield Right-of-Way
QUEENS,40.670017,-73.746185,6:15:00,Unspecified
BROOKLYN,40.694996,-73.970220,8:15:00,Passing or Lane Usage Improper
BROOKLYN,40.676758,-73.917404,13:45:00,Following Too Closely
MANHATTAN,40.801240,-73.941830,16:25:00,Driver Inattention/Distraction
BROOKLYN,40.667377,-73.880394,3:00:00,Unsafe Speed
BROOKLYN,40.679935,-73.913890,7:40:00,Other Vehicular
BROOKLYN,40.684475,-73.974080,8:00:00,Driver Inattention/Distraction
BROOKLYN,40.678160,-74.014160,5:27:00,Driver Inexperience
MANHATTAN,40.800262,-73.945540,14:56:00,Unspecified
BROOKLYN,40.682842,-73.976600,20:50:00,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
BROOKLYN,40.660316,-73.913216,18:16:00,Driver Inattention/Distraction
MANHATTAN,40.805300,-73.947280,4:00:00,Unspecified
QUEENS,40.758224,-73.917410,21:20:00,Backing Unsafely
MANHATTAN,40.824734,-73.948540,12:00:00,Driver Inattention/Distraction
BRONX,40.855873,-73.791490,18:14:00,Unspecified
BROOKLYN,40.686115,-73.869920,21:42:00,Unspecified
BROOKLYN,40.693176,-73.952140,12:00:00,Passing Too Closely
QUEENS,40.755337,-73.843254,12:07:00,Driver Inattention/Distraction
BROOKLYN,40.641895,-73.933240,18:55:00,Failure to Yield Right-of-Way
BRONX,40.838780,-73.918106,18:38:00,Passing Too Closely
QUEENS,40.761510,-73.883610,1:00:00,Driver Inattention/Distraction
BROOKLYN,40.700420,-73.956566,14:00:00,Oversized Vehicle
STATEN ISLAND,40.609436,-74.069400,2:10:00,Driver Inattention/Distraction
BROOKLYN,40.643930,-73.999330,12:30:00,Unspecified
QUEENS,40.761303,-73.860430,17:30:00,Driver Inattention/Distraction
BROOKLYN,40.694836,-73.969150,16:28:00,Alcohol Involvement
BROOKLYN,40.580658,-73.985664,11:30:00,Backing Unsafely
BRONX,40.872303,-73.846650,17:45:00,Unspecified
BROOKLYN,40.639805,-73.951320,22:55:00,Unspecified
QUEENS,40.608710,-73.747680,7:00:00,Other Vehicular
QUEENS,40.758156,-73.896270,16:55:00,Failure to Yield Right-of-Way
BROOKLYN,40.612420,-73.991234,18:05:00,Driver Inattention/Distraction
BRONX,40.897415,-73.850180,13:25:00,Fell Asleep
QUEENS,40.734440,-73.721790,8:00:00,Traffic Control Disregarded
BROOKLYN,40.642002,-73.898834,18:55:00,Failure to Yield Right-of-Way
MANHATTAN,40.800663,-73.946465,0:30:00,Failure to Yield Right-of-Way
BROOKLYN,40.643517,-73.960980,22:55:00,Unspecified
BRONX,40.846210,-73.912270,10:00:00,Backing Unsafely
BROOKLYN,40.707493,-73.941530,18:35:00,Unspecified
QUEENS,40.786854,-73.822360,19:05:00,Following Too Closely
BRONX,40.888870,-73.864365,15:45:00,Driver Inattention/Distraction
BROOKLYN,40.682156,-73.920616,20:00:00,Unspecified
BROOKLYN,40.668270,-73.902630,17:16:00,Following Too Closely
QUEENS,40.752045,-73.879036,8:00:00,Unspecified
QUEENS,40.671448,-73.789430,13:36:00,Passing Too Closely
QUEENS,40.666393,-73.764465,0:30:00,Unspecified
MANHATTAN,40.746520,-73.993880,17:15:00,Driver Inattention/Distraction
QUEENS,40.685610,-73.806540,21:35:00,Alcohol Involvement
MANHATTAN,40.791570,-73.944690,9:45:00,Failure to Yield Right-of-Way
QUEENS,40.663050,-73.748740,14:30:00,Unspecified
BROOKLYN,40.605072,-73.997795,22:30:00,Driver Inattention/Distraction
BRONX,40.835598,-73.913800,14:35:00,Backing Unsafely
QUEENS,40.748320,-73.877290,6:45:00,Driver Inattention/Distraction
BROOKLYN,40.648840,-73.951020,6:15:00,Driver Inattention/Distraction
BROOKLYN,40.636612,-73.977080,18:53:00,Driver Inattention/Distraction
BROOKLYN,40.674740,-73.997770,13:55:00,Following Too Closely
MANHATTAN,40.765152,-73.995155,5:56:00,Unspecified
BROOKLYN,40.704483,-73.948800,15:40:00,Failure to Yield Right-of-Way
QUEENS,40.742523,-73.949240,0:01:00,Unspecified
QUEENS,40.742170,-73.804436,10:39:00,Other Vehicular
BROOKLYN,40.576990,-73.981530,18:35:00,Passing or Lane Usage Improper
BRONX,40.818607,-73.904785,4:13:00,Unspecified
QUEENS,40.772200,-73.741760,17:58:00,Unsafe Speed
BROOKLYN,40.596750,-73.973290,14:58:00,Unspecified
BROOKLYN,40.703000,-73.944250,16:00:00,Unspecified
BROOKLYN,40.676132,-73.921906,9:15:00,Other Vehicular
BROOKLYN,40.653190,-73.966220,20:00:00,Unspecified
BROOKLYN,40.658295,-73.931090,17:20:00,Driver Inattention/Distraction
QUEENS,40.769794,-73.900450,10:19:00,Unspecified
BROOKLYN,40.633514,-74.026955,19:15:00,Traffic Control Disregarded
BROOKLYN,40.672638,-73.976780,17:00:00,Unspecified
BROOKLYN,40.645880,-73.951950,23:20:00,Tire Failure/Inadequate
QUEENS,40.711353,-73.775180,19:30:00,Backing Unsafely
QUEENS,40.744560,-73.955980,20:45:00,Driver Inattention/Distraction
BROOKLYN,40.657894,-73.881530,10:00:00,Unspecified
QUEENS,40.778625,-73.775870,16:00:00,Driver Inattention/Distraction
MANHATTAN,40.777504,-73.954956,14:50:00,Unspecified
QUEENS,40.707500,-73.800674,7:20:00,Unspecified
QUEENS,40.711780,-73.917370,14:35:00,Unspecified
QUEENS,40.677876,-73.850640,9:00:00,Passing Too Closely
QUEENS,40.667114,-73.834656,9:49:00,Following Too Closely
BROOKLYN,40.655050,-73.956310,17:15:00,Passing or Lane Usage Improper
MANHATTAN,40.818800,-73.956030,7:50:00,Backing Unsafely
QUEENS,40.693882,-73.729660,4:25:00,Pavement Defective
BROOKLYN,40.622272,-74.003060,15:20:00,Unspecified
QUEENS,40.663770,-73.768810,14:30:00,Unspecified
BROOKLYN,40.675106,-73.977140,2:02:00,Driver Inattention/Distraction
MANHATTAN,40.706142,-74.006030,12:12:00,Failure to Yield Right-of-Way
BRONX,40.821156,-73.886350,1:17:00,Unspecified
QUEENS,40.685585,-73.785840,3:15:00,Driver Inattention/Distraction
BROOKLYN,40.631573,-73.995470,13:25:00,Unspecified
MANHATTAN,40.800972,-73.947174,19:42:00,Turning Improperly
QUEENS,40.723040,-73.856300,15:00:00,Driver Inattention/Distraction
MANHATTAN,40.757340,-73.986020,10:20:00,Driver Inattention/Distraction
STATEN ISLAND,40.601090,-74.092840,18:25:00,Driver Inattention/Distraction
BRONX,40.867554,-73.840650,0:00:00,Driver Inexperience
MANHATTAN,40.865100,-73.921890,15:35:00,Passing or Lane Usage Improper
BROOKLYN,40.707523,-73.961150,10:46:00,Other Vehicular
BRONX,40.819450,-73.902054,13:40:00,Unspecified
BRONX,40.876095,-73.868126,9:30:00,Unsafe Speed
BROOKLYN,40.673016,-73.897180,6:00:00,Following Too Closely
QUEENS,40.697327,-73.829610,12:10:00,Failure to Yield Right-of-Way
BRONX,40.898373,-73.872830,21:55:00,View Obstructed/Limited
BROOKLYN,40.700813,-73.954470,16:11:00,Driver Inattention/Distraction
STATEN ISLAND,40.597706,-74.092575,15:13:00,Unsafe Lane Changing
BRONX,40.842678,-73.899376,15:48:00,Driver Inattention/Distraction
QUEENS,40.706750,-73.762710,11:15:00,Driver Inattention/Distraction
BROOKLYN,40.680180,-73.959940,18:10:00,Backing Unsafely
MANHATTAN,40.805058,-73.939040,3:30:00,Turning Improperly
QUEENS,40.732857,-73.798570,13:15:00,Driver Inexperience
MANHATTAN,40.737568,-74.001490,0:46:00,Unspecified
QUEENS,40.594105,-73.792420,19:45:00,Failure to Yield Right-of-Way
BROOKLYN,40.628258,-73.941350,11:35:00,Passing Too Closely
QUEENS,40.710580,-73.870640,14:24:00,Following Too Closely
BROOKLYN,40.649940,-74.001720,0:00:00,Backing Unsafely
BROOKLYN,40.581745,-73.953840,21:00:00,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
STATEN ISLAND,40.621460,-74.071754,19:50:00,Driver Inattention/Distraction
BROOKLYN,40.696270,-73.909560,12:25:00,Driver Inattention/Distraction
BROOKLYN,40.670624,-73.895546,18:10:00,Unspecified
QUEENS,40.766922,-73.835480,17:30:00,Following Too Closely
QUEENS,40.741560,-73.880650,17:00:00,Failure to Yield Right-of-Way
BROOKLYN,40.684050,-73.977460,13:45:00,Driver Inattention/Distraction
BROOKLYN,40.702770,-73.990685,12:03:00,Following Too Closely
BRONX,40.811512,-73.890530,7:55:00,Unspecified
BRONX,40.825455,-73.913170,17:25:00,Driver Inattention/Distraction
QUEENS,40.666150,-73.805750,16:12:00,Steering Failure
BRONX,40.865360,-73.870430,16:39:00,Traffic Control Disregarded
QUEENS,40.748024,-73.880210,15:50:00,Failure to Yield Right-of-Way
MANHATTAN,40.741028,-73.994170,19:49:00,Failure to Yield Right-of-Way
QUEENS,40.757977,-73.882970,14:54:00,Failure to Yield Right-of-Way
MANHATTAN,40.802696,-73.949196,21:30:00,Turning Improperly
QUEENS,40.738354,-73.895910,11:48:00,Driver Inattention/Distraction
BROOKLYN,40.583700,-73.942590,17:00:00,Driver Inattention/Distraction
BROOKLYN,40.648075,-73.959590,23:40:00,Alcohol Involvement
QUEENS,40.679010,-73.812590,17:45:00,Unsafe Speed
BROOKLYN,40.671597,-73.880180,20:55:00,Unspecified
BROOKLYN,40.648823,-73.951775,10:36:00,Driver Inattention/Distraction
BROOKLYN,40.610443,-73.934620,11:42:00,Driver Inattention/Distraction
BROOKLYN,40.638515,-73.949930,0:00:00,Outside Car Distraction
BRONX,40.828293,-73.861725,15:15:00,Unspecified
BROOKLYN,40.625560,-73.946640,13:30:00,Turning Improperly
QUEENS,40.666397,-73.755516,4:15:00,Driver Inattention/Distraction
BROOKLYN,40.617588,-73.963820,0:00:00,Unspecified
BRONX,40.870796,-73.903900,18:39:00,Unspecified
QUEENS,40.748985,-73.891620,1:50:00,Driver Inexperience
QUEENS,40.748980,-73.939690,17:00:00,Driver Inattention/Distraction
BROOKLYN,40.702408,-73.935020,11:50:00,Passing or Lane Usage Improper
QUEENS,40.688380,-73.805590,23:55:00,Driver Inattention/Distraction
BRONX,40.831856,-73.868260,14:35:00,Unspecified
BRONX,40.827423,-73.868230,18:40:00,Failure to Yield Right-of-Way
QUEENS,40.665257,-73.739555,15:30:00,Unspecified
QUEENS,40.700520,-73.811066,0:00:00,Unspecified
MANHATTAN,40.757668,-73.994830,5:00:00,Passing Too Closely
QUEENS,40.741250,-73.819120,12:15:00,Failure to Yield Right-of-Way
MANHATTAN,40.837803,-73.942150,11:00:00,Unsafe Lane Changing
MANHATTAN,40.813385,-73.945110,11:20:00,Other Vehicular
BRONX,40.873410,-73.875890,11:38:00,Driver Inexperience
BROOKLYN,40.652985,-73.952710,20:55:00,Following Too Closely
MANHATTAN,40.715355,-73.997730,12:50:00,Driver Inattention/Distraction
BRONX,40.847150,-73.901250,14:22:00,Backing Unsafely
BROOKLYN,40.619484,-73.918274,10:20:00,Unspecified
BRONX,40.821667,-73.915184,17:20:00,Driver Inattention/Distraction
QUEENS,40.742065,-73.900360,22:40:00,Driver Inattention/Distraction
QUEENS,40.679012,-73.758675,22:14:00,Alcohol Involvement
BROOKLYN,40.700726,-73.941940,2:15:00,Unsafe Speed
BRONX,40.858140,-73.895744,19:34:00,Driver Inexperience
BRONX,40.885433,-73.829240,19:42:00,Unspecified
BROOKLYN,40.657190,-73.927055,3:26:00,Unspecified
QUEENS,40.725994,-73.898430,23:38:00,Unspecified
BROOKLYN,40.653202,-73.930560,0:05:00,Driver Inattention/Distraction
QUEENS,40.762012,-73.911000,14:30:00,Driver Inattention/Distraction
BROOKLYN,40.608204,-73.920715,8:00:00,Unspecified
BRONX,40.820990,-73.891810,21:00:00,Backing Unsafely
BROOKLYN,40.654312,-73.917590,17:25:00,Driver Inattention/Distraction
QUEENS,40.739094,-73.917620,3:05:00,Driver Inattention/Distraction
BROOKLYN,40.655300,-73.903180,22:22:00,Driver Inattention/Distraction
BROOKLYN,40.621260,-74.031430,4:54:00,Unspecified
QUEENS,40.745250,-73.955750,21:25:00,Driver Inattention/Distraction
BRONX,40.880493,-73.903694,15:01:00,Unspecified
BROOKLYN,40.655754,-73.924030,3:00:00,Alcohol Involvement
MANHATTAN,40.805737,-73.940650,16:48:00,Following Too Closely
BROOKLYN,40.623800,-73.923510,2:18:00,Unspecified
BROOKLYN,40.686825,-73.938810,18:30:00,Passing Too Closely
QUEENS,40.665497,-73.755730,19:37:00,Following Too Closely
MANHATTAN,40.757810,-73.973530,21:25:00,Unsafe Speed
BROOKLYN,40.574123,-74.004080,18:20:00,Driver Inattention/Distraction
QUEENS,40.690690,-73.858160,0:30:00,Unspecified
BROOKLYN,40.722720,-73.953970,20:20:00,Unsafe Speed
MANHATTAN,40.744747,-73.997170,21:30:00,Driver Inattention/Distraction
BRONX,40.818012,-73.925190,0:52:00,Unspecified
BROOKLYN,40.660640,-73.960680,12:09:00,Passing or Lane Usage Improper
BRONX,40.836697,-73.907104,14:59:00,Driver Inattention/Distraction
BRONX,40.875965,-73.835810,7:50:00,Driver Inattention/Distraction
BROOKLYN,40.661243,-73.923164,22:48:00,Unspecified
QUEENS,40.758960,-73.829850,23:05:00,Failure to Yield Right-of-Way
MANHATTAN,40.752170,-73.977780,15:20:00,Driver Inattention/Distraction
MANHATTAN,40.724968,-74.001580,19:37:00,Unspecified
QUEENS,40.757084,-73.916140,9:19:00,Unspecified
BROOKLYN,40.624893,-73.934326,8:45:00,Driver Inattention/Distraction
BROOKLYN,40.672432,-73.911316,9:30:00,Driver Inattention/Distraction
BROOKLYN,40.652107,-73.939130,14:50:00,Unspecified
MANHATTAN,40.804054,-73.936640,19:30:00,Driver Inattention/Distraction
BROOKLYN,40.667156,-73.910100,15:42:00,Unspecified
BROOKLYN,40.663570,-73.925020,11:25:00,Following Too Closely
QUEENS,40.676040,-73.843520,12:33:00,Passing Too Closely
BRONX,40.835835,-73.877365,8:50:00,Unspecified
QUEENS,40.726960,-73.846535,2:29:00,Illnes
QUEENS,40.715120,-73.773580,23:28:00,Unsafe Speed
BRONX,40.829890,-73.855194,0:01:00,Unspecified
BRONX,40.817387,-73.922770,12:35:00,Driver Inattention/Distraction
STATEN ISLAND,40.509865,-74.244150,22:50:00,Alcohol Involvement
MANHATTAN,40.764626,-73.995550,10:00:00,Driver Inattention/Distraction
QUEENS,40.753857,-73.917640,16:22:00,Unspecified
BROOKLYN,40.699665,-73.959240,22:15:00,Backing Unsafely
BRONX,40.823082,-73.867220,17:50:00,Unspecified
QUEENS,40.685993,-73.839930,21:20:00,Failure to Yield Right-of-Way
QUEENS,40.736214,-73.713486,16:30:00,Unspecified
MANHATTAN,40.800507,-73.938156,10:00:00,Unspecified
QUEENS,40.746240,-73.897230,9:00:00,Driver Inattention/Distraction
QUEENS,40.707390,-73.908950,11:01:00,Alcohol Involvement
BROOKLYN,40.632435,-73.888180,0:48:00,Unspecified
QUEENS,40.759700,-73.800310,23:50:00,Unspecified
BRONX,40.812664,-73.906334,21:37:00,Unspecified
QUEENS,40.726570,-73.852650,21:20:00,Passing Too Closely
BROOKLYN,40.654710,-73.930720,16:40:00,Driver Inattention/Distraction
MANHATTAN,40.749638,-73.999050,12:25:00,Steering Failure
QUEENS,40.694070,-73.828020,23:00:00,Alcohol Involvement
BRONX,40.833755,-73.861750,0:22:00,Driver Inattention/Distraction
BRONX,40.838017,-73.914314,3:31:00,Driver Inattention/Distraction
BROOKLYN,40.607410,-73.926254,8:00:00,Unspecified
BROOKLYN,40.697296,-73.923780,15:40:00,Backing Unsafely
BROOKLYN,40.575630,-73.963950,13:40:00,Driver Inattention/Distraction
MANHATTAN,40.828310,-73.943150,9:00:00,Unsafe Speed
MANHATTAN,40.759575,-73.968030,22:07:00,Unsafe Speed
QUEENS,40.727110,-73.805090,6:00:00,Driver Inattention/Distraction
BRONX,40.878310,-73.870155,12:10:00,Unspecified
MANHATTAN,40.799984,-73.944855,17:50:00,Passing Too Closely
BRONX,40.860380,-73.888890,15:40:00,Unsafe Speed
BROOKLYN,40.653610,-73.965100,18:00:00,Unspecified
MANHATTAN,40.821583,-73.948490,18:30:00,Unspecified
MANHATTAN,40.793633,-73.941650,10:30:00,Backing Unsafely
MANHATTAN,40.802753,-73.933580,2:48:00,Brakes Defective
STATEN ISLAND,40.639698,-74.114290,23:15:00,Driver Inattention/Distraction
BROOKLYN,40.687700,-73.910950,17:35:00,Backing Unsafely
BROOKLYN,40.619190,-73.923020,10:00:00,NULL
BRONX,40.820988,-73.894910,23:25:00,Unspecified
BROOKLYN,40.635185,-73.928620,18:00:00,Unspecified
MANHATTAN,40.740050,-73.999150,2:00:00,Driver Inattention/Distraction
MANHATTAN,40.717100,-73.998600,0:00:00,Driver Inattention/Distraction
BROOKLYN,40.657230,-73.960250,11:38:00,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
BROOKLYN,40.575940,-74.010155,11:15:00,Unspecified
MANHATTAN,40.747044,-73.987130,13:45:00,Driver Inattention/Distraction
BRONX,40.849438,-73.918420,17:00:00,Unspecified
STATEN ISLAND,40.585426,-74.101520,20:00:00,Passing Too Closely
QUEENS,40.725970,-73.775566,14:47:00,Driver Inattention/Distraction
BROOKLYN,40.680790,-73.991740,10:29:00,Passing or Lane Usage Improper
BROOKLYN,40.670500,-73.944880,21:06:00,Driver Inattention/Distraction
BROOKLYN,40.661663,-73.923615,18:40:00,Unspecified
BROOKLYN,40.712624,-73.958170,12:43:00,Driver Inattention/Distraction
QUEENS,40.768240,-73.924280,10:10:00,View Obstructed/Limited
QUEENS,40.696373,-73.745250,11:40:00,Following Too Closely
MANHATTAN,40.760536,-73.958360,4:28:00,Driver Inexperience
BRONX,40.874714,-73.845120,5:09:00,Alcohol Involvement
BROOKLYN,40.632065,-74.038086,14:30:00,Driver Inexperience
BROOKLYN,40.623000,-73.959050,22:21:00,Traffic Control Disregarded
BROOKLYN,40.656800,-73.928000,17:29:00,Unspecified
STATEN ISLAND,40.589417,-74.094580,20:55:00,Driver Inattention/Distraction
QUEENS,40.709152,-73.871730,7:25:00,Backing Unsafely
QUEENS,40.686653,-73.803030,16:04:00,Driver Inattention/Distraction
BRONX,40.817574,-73.896240,20:23:00,Alcohol Involvement
MANHATTAN,40.824030,-73.944760,14:11:00,Unspecified
BRONX,40.829685,-73.880400,11:40:00,Unspecified
BROOKLYN,40.703033,-73.959900,5:13:00,Alcohol Involvement
QUEENS,40.685432,-73.755140,20:30:00,Unsafe Speed
MANHATTAN,40.756130,-73.967610,18:00:00,Passing or Lane Usage Improper
BRONX,40.880623,-73.840470,18:59:00,Failure to Yield Right-of-Way
QUEENS,40.715790,-73.797490,14:10:00,Passing Too Closely
BROOKLYN,40.708084,-73.923410,0:55:00,Alcohol Involvement
STATEN ISLAND,40.628723,-74.083040,19:00:00,Driver Inattention/Distraction
MANHATTAN,40.798836,-73.939360,15:13:00,Outside Car Distraction
QUEENS,40.742123,-73.927450,7:57:00,Traffic Control Disregarded
BRONX,40.816456,-73.866830,18:30:00,Unspecified
BRONX,40.861660,-73.910965,8:15:00,Passing Too Closely
QUEENS,40.789350,-73.842804,1:05:00,Unsafe Speed
QUEENS,40.699547,-73.764366,21:45:00,Unspecified
BROOKLYN,40.648182,-73.947390,9:55:00,Unspecified
